Designator,Qty,Manufacturer,MPN,LCSC,Value,Footprint,Description,DNP
U1,1,Espressif,ESP32-S3-WROOM-1-N16R8,C2913202,ESP32-S3-WROOM-1,Module_ESP32-S3-WROOM-1,MCU WiFi BLE 16MB flash 8MB PSRAM,FALSE
U2,1,Diodes/AMS,AMS1117-3.3,C6187,3V3 LDO,SOT-223,3.3V regulator,FALSE
U3,1,TI/MPS,MP2315 or TPS54331,C167271,VCORE_BUCK,SOIC-8,Adjustable buck controller/module for VCORE,FALSE
U4,1,TI,TLV70018 or AP2127N-1.8,C511260,1V8,SOT-23-5,VIO 1.8V LDO,FALSE
U5,1,TI,TXS0108EPWR,C53411,TXS0108E,TSSOP-20,8-ch level shifter,FALSE
U6,1,TI,INA219AIDCNR,C79178,INA219,VSSOP-10,I2C current/power monitor,FALSE
J1,1,Generic,HDR-2x10-2.54,C124411,HASH_J1,PinHeader_2x10_P2.54mm_Vertical,Hashboard connector,FALSE
J2,1,Generic,USB-C-16P,C165948,USB_C,USB_C_Receptacle_USB2.0,Power+USB data,FALSE
J3,1,Generic,DC-5521,C75099,BARREL_12V,BarrelJack_2.1mm,Optional 9-12V input,FALSE
J4,1,Generic,HDR-1x4-2.54,C124378,FAN,PinHeader_1x4_P2.54mm,Fan PWM TACH 5V,FALSE
J5,1,Generic,HDR-1x4-2.54,C124378,OLED,PinHeader_1x4_P2.54mm,SSD1306 0.91 I2C,FALSE
SW1,1,Generic,6x6mm,C127311,BOOT,SW_PUSH_6mm,BOOT button,FALSE
SW2,1,Generic,6x6mm,C127311,RESET,SW_PUSH_6mm,EN/RESET button,FALSE
D1,1,Generic,SS34,C8678,Schottky,SMA,VIN OR-ing,FALSE
D2,1,Generic,SS34,C8678,Schottky,SMA,USB OR-ing,FALSE
F1,1,Generic,3A polyfuse,C70022,PTC_3A,1206,USB input protection,FALSE
L1,1,Generic,4.7uH 15A,C2962187,4.7uH,Inductor_SMD,VCORE buck inductor (size per regulator),FALSE
L2,1,Generic,2.2uH,C2962213,2.2uH,Inductor_SMD_6.3x6.3,Optional 12V-to-5V buck,TRUE
Q1,1,Generic,AO3400A,C20917,N-FET,SOT-23,Fan low-side drive,FALSE
R1,1,Generic,10k,C17414,10k,0603,BOOT pull-up,FALSE
R2,1,Generic,10k,C17414,10k,0603,EN pull-up,FALSE
R3,1,Generic,4.7k,C23162,4.7k,0603,I2C SDA pull-up,FALSE
R4,1,Generic,4.7k,C23162,4.7k,0603,I2C SCL pull-up,FALSE
R5,1,Generic,1k,C21190,1k,0603,LED_PWR series,FALSE
R6,1,Generic,1k,C21190,1k,0603,LED_HASH series,FALSE
R7,1,Generic,1k,C21190,1k,0603,LED_ERR series,FALSE
R8,1,Generic,0.01ohm 2W,C173371,RSHUNT,2512,INA219 shunt on SYS_5V,FALSE
R9,1,Generic,10k,C17414,10k,0603,VCORE FB top (tune),FALSE
R10,1,Generic,2.2k,C17550,2.2k,0603,VCORE FB bottom (tune),FALSE
R11,1,Generic,1k,C21190,1k,0603,VCORE_PWM filter R,FALSE
R12,1,Generic,10k NTC,C96425,NTC_10k,0603,On-controller ambient (optional),TRUE
C1,1,Generic,10uF 16V,C19702,10uF,0805,SYS_5V bulk,FALSE
C2,1,Generic,10uF 16V,C19702,10uF,0805,SYS_5V bulk,FALSE
C3,1,Generic,10uF 6.3V,C15850,10uF,0805,3V3 bulk,FALSE
C4,1,Generic,10uF 6.3V,C15850,10uF,0805,3V3 bulk,FALSE
C5,4,Generic,100nF,C14663,100nF,0603,ESP32 decoupling (x4),FALSE
C7,1,Generic,100uF 6.3V,C15855,100uF,1206,VCORE output bulk,FALSE
C8,1,Generic,100uF 6.3V,C15855,100uF,1206,VCORE output bulk,FALSE
C9,1,Generic,22uF,C15857,22uF,0805,VIO bulk,FALSE
C10,1,Generic,1uF,C15849,1uF,0603,VCORE_PWM filter C,FALSE
LED1,1,Generic,Green 0603,C2297,GREEN,0603,Power,FALSE
LED2,1,Generic,Blue 0603,C2290,BLUE,0603,Hash activity,FALSE
LED3,1,Generic,Red 0603,C2286,RED,0603,Error,FALSE
JP1,1,Generic,HDR-1x3,C124373,VIO_SEL,PinHeader_1x3_P2.54mm,1.8V / 3.3V select,FALSE
PCB1,1,JCHC,JCHC-1-A,,PCB,100x70mm 4L,Controller PCB,FALSE
